sender,senderAddress,subject,body,url,label
,support@npkfqidyoz.com,Hesabınızı güvence altına alın,"Sayın kullanıcı, Hesabınızla ilgili ciddi bir güvenlik problemi tespit edilmiştir. Lütfen aşağıdaki bağlantıya tıklayın ve hesabınızı hemen doğrulayın: 🔗 verify@npkfqidyoz.com",,phishing
,info@banksecure.com,Hesap hareket özeti,"Sayın Müşterimiz, hesabınıza ait Mayıs ayı hareket dökümünüz ekte yer almaktadır. Detaylı inceleme için internet şubemizi kullanabilirsiniz: https://www.banksecure.com/login",,normal
,support@kitapdunyasi.com,Siparişiniz Kargoya Verildi,"Merhaba [Adınız], 3 adet kitabınız kargoya verilmiştir. Kargo takip numaranız: 456789TR. Siparişinizi takip etmek için: https://www.kitapdunyasi.com/takip",,normal
,info@e-fatura.gov.tr,E-Fatura Bildirimi,"Sayın Kullanıcı, Nisan 2025 dönemine ait e-faturanız hazırlanmıştır. Detaylara aşağıdaki bağlantıdan ulaşabilirsiniz: https://www.efatura.gov.tr/fatura/123456",,normal
,iletisim@universite.edu.tr,Ders Programınız Yayınlandı,"Sevgili Öğrencimiz, 2025 Bahar dönemi ders programınız öğrenci paneline yüklenmiştir. Göz atmak için: https://ogrenci.universite.edu.tr",,normal
,bilgi@etkinlikmerkezi.com,Etkinlik Katılım Onayı,"Merhaba [Adınız], 10 Haziran'daki 'Yapay Zeka ve Gelecek' etkinliğine katılımınız onaylandı. Etkinlik detayları için: https://www.etkinlikmerkezi.com/etkinlik/ai2025",,normal
,support@jtcwpybuyo.com,Ödül kazanma fırsatınız sona eriyor,"Sayın kullanıcı, Hesabınızla ilgili ciddi bir güvenlik problemi tespit edilmiştir. Lütfen aşağıdaki bağlantıya tıklayın ve hesabınızı hemen doğrulayın: 🔗 verify@jtcwpybuyo.com",,phishing
,support@kyewjaljey.com,Hesap şifreniz sıfırlandı,"Sayın kullanıcı, Hesabınızla ilgili ciddi bir güvenlik problemi tespit edilmiştir. Lütfen aşağıdaki bağlantıya tıklayın ve giriş bilgilerinizı hemen doğrulayın: 🔗 verify@kyewjaljey.com",,phishing
,info@wlwzgmzfjf.com,Hesap güvenliği güncellemesi,"Sayın [Adınız], Hesabınız başarıyla güncellenmiştir. Faturalarınızı görmek ve işlem geçmişinizi kontrol etmek için lütfen aşağıdaki bağlantıyı kullanın: 🔗 account@wlwzgmzfjf.com",,normal
,info@euyblbqfqm.com,Hesap güvenliği güncellemesi,"Sayın [Adınız], Hesabınız başarıyla güncellenmiştir. Faturalarınızı görmek ve işlem geçmişinizi kontrol etmek için lütfen aşağıdaki bağlantıyı kullanın: 🔗 account@euyblbqfqm.com",,normal
,support@lwpxyxqhjt.com,Acil hesap doğrulaması,"Sayın kullanıcı, Hesabınızla ilgili ciddi bir güvenlik problemi tespit edilmiştir. Lütfen aşağıdaki bağlantıya tıklayın ve hesabınızı hemen doğrulayın: 🔗 verify@lwpxyxqhjt.com",,phishing
,"""IQ - Flynn Associates"" <flynn@insiq.us>",Are you ready for 10/5/2002?," 	 Are you ready for 10-5-2002?  We are!  	  	  	 Act Now... Call us today for more details  800-550-2666 ext. 150 - or -   Please fill out the form below for more information	  Name:	  	 	 E-mail:	  	 Phone:	  	 City:	  	State:	  	  	    	    Flynn Associates Insurance Marketing, Inc. We don't want anyone to receive our mailings who does not wish to receive them. This is a professional communication sent to insurance professionals. To be removed from this mailing list, DO NOT REPLY to this message. Instead, go here: http://www.insuranceiq.com/optout <http://www.insuranceiq.com/optout/>   Legal Notice <http://www.insiq.com/legal.htm>  ","http://www.insuranceiq.com/optout, http://www.insuranceiq.com/optout/>, http://www.insiq.com/legal.htm>",phishing
,info@hscoyrzuzg.com,Yeni işlem bildirimleri,"Sayın [Adınız], Hesabınız başarıyla güncellenmiştir. Faturalarınızı görmek ve işlem geçmişinizi kontrol etmek için lütfen aşağıdaki bağlantıyı kullanın: 🔗 account@hscoyrzuzg.com",,normal
,info@fcgnnkwvom.com,Kişisel bilgilerinizi güncelleyin,"Sayın [Adınız], Hesabınız başarıyla güncellenmiştir. Faturalarınızı görmek ve işlem geçmişinizi kontrol etmek için lütfen aşağıdaki bağlantıyı kullanın: 🔗 account@fcgnnkwvom.com",,normal
